"filename", "language", "JavaScript", "Batch", "TypeScript", "JSON with Comments", "JSON", "HTML", "CSS", "Markdown", "YAML", "XML", "JavaScript React", "comment", "blank", "total"
"c:\RiskEstimationRecorder\software\source\imports\ui\components\SurveySelectorList\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\UserEditorDetails\UserEditorDetails.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 221, 2, 41, 264
"c:\RiskEstimationRecorder\software\source\imports\ui\components\UserEditorDetails\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\UserEditorExportImport\UserEditorExportImport.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 76, 1, 22, 99
"c:\RiskEstimationRecorder\software\source\imports\ui\components\UserEditorExportImport\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\UserEditorTable\UserEditorTable.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 142, 0, 33, 175
"c:\RiskEstimationRecorder\software\source\imports\ui\components\UserEditorTable\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\components\mxGraph\MxGraphContainer.jsx", "JavaScript React", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 403, 196, 77, 676
"c:\RiskEstimationRecorder\software\source\imports\ui\components\mxGraph\components\CreateTaskNode.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 118
"c:\RiskEstimationRecorder\software\source\imports\ui\components\mxGraph\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\RiskEstimationRecorder\software\source\imports\ui\containers\Full\Full.js", "JavaScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 6, 84
"c:\RiskEstimationRecorder\software\source\imports\ui\containers\Full\package.json", "JSON", 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
